US	en_US
XHWB	wj_XHWB
HANS	zh_HANS
PM	ru_PM
EI	it_EI
PO	pl_PO
VL	ru_VL
WR	pl_WR
WA	ru_WA
YA	ru_YA
RG	nl_RG
AN	sk_AN
DD	sk_DD
IF	sk_IF
LP	sk_LP
AQ	pl_AQ
NQ	sk_NQ
DS	pl_DS
VA	sk_VA
XJ	sk_XJ
TS	ko_TS
PS	pl_PS
VT	pl_VT
IK	iw_IK
DW	ro_DW
LATN	sr_LATN
LL	iw_LL
TU	tr_TU
BC	sv_BC
GO	sv_GO
JE	sv_JE
WV	us_WV
RR	it_RR
PD	sv_PD
EZ	pl_EZ
VB	sv_VB
ER	ru_ER
WG	sv_WG
YT	sv_YT
YX	sv_YX
ZX	sv_ZX
RT	pl_RT
HANT	zh_HANT
JR	zh_JR
UP	pl_UP
WO	pl_WO
PX	de_PX
JL	de_JL
EX	en_EX
AJ	en_AJ
QV	de_QV
AK	en_AK
IZ	en_IZ
I	fa_I
AB	de_AB
UI	en_UI
UM	en_UM
QG	de_QG
KI	en_KI
UT	en_UT
IRAN	fa_IRAN
UW	en_UW
AX	de_AX
KJ	en_KJ
QM	en_QM
VQ	en_VQ
RJ	en_RJ
VV	en_VV
WK	en_WK
WL	en_WL
TP	de_TP
HC	en_HC
WW	en_WW
RA	de_RA
WY	en_WY
XC	en_XC
XF	en_XF
XI	en_XI
KP	en_KP
YZ	de_YZ
XM	en_XM
XS	en_XS
XW	en_XW
EJ	en_EJ
G	ar_G
EL	en_EL
YJ	en_YJ
KF	de_KF
VD	de_VD
LG	de_LG
ZQ	en_ZQ
ZT	en_ZT
ZU	en_ZU
FE	en_FE
ZY	en_ZY
QZ	en_QZ
KC	en_KC
GG	en_GG
GK	en_GK
OF	de_OF
JG	en_JG
VM	de_VM
QC	de_QC
CQ	de_CQ
QS	de_QS
QX	de_QX
HY	en_HY
DI	de_DI
DH	es_DH
VX	de_VX
DN	de_DN
WU	de_WU
JU	en_JU
EV	es_EV
JX	en_JX
EH	en_EH
UAE	ar_UAE
UC	fa_UC
WZ	de_WZ
EQ	de_EQ
LF	en_LF
NH	en_NH
FF	de_FF
EW	en_EW
QK	en_QK
NJ	en_NJ
FD	en_FD
FL	de_FL
FM	de_FM
XG	de_XG
MP	de_MP
OS	es_OS
FU	de_FU
FY	de_FY
RC	en_RC
XP	de_XP
LE	ar_LE
RN	en_RN
NM	en_NM
NU	de_NU
RP	en_RP
OJ	de_OJ
EGYPT	arabic_EGYPT
NV	en_NV
SW	de_SW
PN	de_PN
GV	de_GV
OD	en_OD
XY	de_XY
XZ	de_XZ
HI	en_HI
DC	en_DC
HF	de_HF
WI	fr_WI
HQ	de_HQ
OG	en_OG
TY	de_TY
HX	en_HX
RY	de_RY
OU	en_OU
IJ	en_IJ
ALG	ar_ALG
IO	en_IO
FS	fa_FS
DL	en_DL
AC	en_AC
YS	en_YS
